チーム名,順位,攻撃セットプレー,左サイド攻撃,中央攻撃,右サイド攻撃,ショートカウンター,ロングカウンター,敵陣ポゼッション,自陣ポゼッション
川崎Ｆ,1,55,70,61,52,63,46,72,48
横浜FM,2,60,77,54,82,59,53,69,56
神戸,3,41,52,48,41,42,36,60,64
鹿島,4,70,51,67,56,65,68,49,36
名古屋,5,56,57,39,45,50,45,45,48
浦和,6,45,49,53,40,45,43,56,63
鳥栖,7,46,50,50,50,42,40,58,65
福岡,8,46,41,52,47,58,51,32,33
FC東京,9,63,60,47,38,57,62,41,39
広島,10,54,57,50,61,59,58,55,44
Ｃ大阪,11,55,44,49,49,47,45,52,50
札幌,12,58,42,76,48,68,56,53,57
Ｇ大阪,13,38,44,47,50,43,53,55,49
柏,14,58,42,53,57,56,71,41,39
湘南,15,59,48,48,54,56,55,37,41
清水,16,36,35,46,48,37,41,42,53
徳島,17,36,49,47,32,39,36,55,67
大分,18,35,50,27,46,34,37,43,58
仙台,19,39,42,39,58,43,55,41,41
横浜FC,20,48,42,47,47,38,50,45,48