節,開催日,曜日,相手,スコア,ホーム/アウェー,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2.26,(金),横浜FM,2-0,H,等々力,4868,曇,57,44,13.70%,18,11.10%,46.90%,15.98,14.3,139.34,13.68,家長x2,鬼木　達
11,3.3,(水),Ｃ大阪,3-2,H,等々力,4756,晴,67,61,16.40%,18,16.70%,65.00%,33.06,27.86,82.54,8.02,"Ｌダミアンx2,三笘",鬼木　達
2,3.6,(土),仙台,5-1,A,ユアスタ,9005,晴,57,47,11.70%,17,23.50%,59.70%,22.77,16.43,145.65,12.12,"遠野,小林x2,旗手,OG",鬼木　達
3,3.1,(水),徳島,2-0,H,等々力,4853,晴,59,71,16.20%,18,11.10%,49.20%,18.99,16.9,128.76,7.54,Ｌダミアンx2,鬼木　達
4,3.13,(土),柏,1-0,H,等々力,4744,雨,50,55,10.20%,14,7.10%,57.80%,20.39,16.04,105.05,17.13,家長,鬼木　達
5,3.17,(水),神戸,1-1,A,ノエスタ,7446,屋内,56,46,8.60%,13,7.70%,50.50%,19.37,16.15,128.84,16.96,Ｌダミアン,鬼木　達
6,3.21,(日),浦和,5-0,A,埼玉,4679,雨,60,67,13.90%,15,33.30%,44.30%,17.78,14.38,134.08,9.38,"Ｌダミアン,旗手,小林x2,脇坂",鬼木　達
7,4.3,(土),大分,2-0,H,等々力,9810,曇,66,85,15.70%,17,11.80%,48.00%,26.28,24.02,94.91,11.17,三笘x2,鬼木　達
8,4.7,(水),鳥栖,1-0,H,等々力,9173,晴,66,68,8.30%,10,10.00%,52.70%,22.66,19.66,132.41,9.52,遠野,鬼木　達
9,4.11,(日),FC東京,4-2,A,味スタ,17615,晴,61,53,10.30%,13,30.80%,54.70%,21.87,19.75,116.98,11.36,"家長x2,三笘,Ｌダミアン",鬼木　達
19,4.14,(水),福岡,3-1,H,等々力,6958,雨一時雷雨,65,53,11.80%,17,17.60%,59.90%,21.2,16.84,151.56,14.66,"遠野,知念,山根",鬼木　達
10,4.18,(日),広島,1-1,H,等々力,9720,晴,66,57,18.60%,22,4.50%,56.10%,25.99,23.88,103.52,8.65,家長,鬼木　達
22,4.29,(木),名古屋,4-0,A,豊田ス,9693,雨,61,58,13.80%,15,26.70%,48.20%,22.55,19.46,114.6,12.44,"旗手,Ｌダミアンx2,遠野",鬼木　達
12,5.4,(火),名古屋,3-2,H,等々力,4954,晴,52,51,7.10%,9,22.20%,45.80%,13.27,11.32,121.93,12.69,"ジェジエウ,山根,OG",鬼木　達
13,5.8,(土),Ｇ大阪,2-0,A,パナスタ,0,曇,69,52,15.30%,17,11.80%,63.40%,28.53,23.09,100.02,9.43,"Ｌダミアン,三笘",鬼木　達
20,5.12,(水),仙台,2-2,H,等々力,4752,曇,65,52,15.20%,19,10.50%,68.00%,23.93,19.28,103.76,10.16,"小林,三笘",鬼木　達
14,5.16,(日),札幌,2-0,H,等々力,4932,曇,57,53,11.00%,13,15.40%,46.10%,17.85,12.89,107.4,17.19,"三笘,小林",鬼木　達
15,5.22,(土),横浜FC,3-1,H,等々力,4942,曇,58,56,15.20%,17,17.60%,53.00%,22.42,19.47,108.38,13.13,"家長,田中,三笘",鬼木　達
16,5.26,(水),湘南,1-1,A,レモンＳ,4947,曇,54,49,12.40%,15,6.70%,63.70%,26.27,23.6,101.64,13.27,Ｌダミアン,鬼木　達
17,5.3,(日),鹿島,2-1,H,等々力,4958,曇一時雨,57,54,9.30%,12,16.70%,57.90%,17.29,14.32,130.23,12.34,"Ｌダミアン,小林",鬼木　達
21,6.2,(水),横浜FC,2-0,A,ニッパツ,4855,晴,60,73,17.30%,19,10.50%,56.40%,19.51,15.79,109.57,10.49,小林x2,鬼木　達
18,7.17,(土),清水,2-0,A,アイスタ,9015,晴,54,49,8.50%,9,22.20%,57.40%,20.95,19.34,95.83,11.49,"脇坂,大島",鬼木　達
23,8.9,(月),大分,2-0,A,昭和電ド,7817,晴,64,63,14.40%,16,12.50%,49.40%,21.6,17.39,97.91,10.66,"Ｌダミアン,遠野",鬼木　達
24,8.14,(土),柏,0-0,A,三協Ｆ柏,3931,雨,67,51,15.10%,18,0.00%,61.70%,29.35,22.79,79.39,11.31,,鬼木　達
25,8.21,(土),広島,1-1,A,Ｅスタ,4885,雨,55,57,9.90%,12,8.30%,62.10%,22.44,17.78,107.35,9.8,Ｌダミアン,鬼木　達
26,8.25,(水),福岡,0-1,A,ベススタ,4461,雨のち曇,52,44,13.60%,16,0.00%,68.60%,19.76,16.28,68.42,8.41,,鬼木　達
27,8.28,(土),札幌,2-0,A,札幌ド,5610,屋内,39,44,7.20%,9,22.20%,44.10%,13.48,12.2,95.2,19.72,"小林,遠野",鬼木　達
29,9.18,(土),徳島,3-1,A,鳴門大塚,6464,晴,60,53,15.70%,18,16.70%,41.30%,14.11,11.39,91.16,11.84,"脇坂,知念x2",鬼木　達
32,9.22,(水),鹿島,2-1,A,カシマ,4925,晴,52,38,7.60%,10,20.00%,54.80%,14.52,12.33,94.71,14.59,"山村,宮城",鬼木　達
30,9.26,(日),湘南,2-1,H,等々力,4897,曇,57,41,16.80%,21,9.50%,61.10%,27.31,22.42,118.5,16.61,"旗手,知念",鬼木　達
28,9.29,(水),神戸,3-1,H,等々力,4932,曇,65,56,9.90%,11,18.20%,50.20%,19.97,17.23,98.28,10.43,"Ｌダミアン,家長,OG",鬼木　達
31,10.2,(土),FC東京,1-0,H,等々力,9789,晴,54,39,6.30%,7,14.30%,52.10%,15.39,13.98,97.27,15.64,Ｌダミアン,鬼木　達
33,10.24,(日),清水,1-0,H,等々力,11576,晴時々曇,68,71,9.50%,10,10.00%,61.10%,21.11,18.89,87.57,11.14,Ｌダミアン,鬼木　達
34,11.3,(水),浦和,1-1,H,等々力,11603,晴,,,,,,,,,,,ジェジエウ,鬼木　達
35,11.7,(日),鳥栖,,A,駅スタ,,,,,,,,,,,,,,
36,11.2,(土),Ｃ大阪,,A,ヨドコウ,,,,,,,,,,,,,,
37,11.27,(土),Ｇ大阪,,H,等々力,,,,,,,,,,,,,,
38,12.4,(土),横浜FM,,A,日産ス,,,,,,,,,,,,,,